chr	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	match_type	aa_length
chr1	NC_000001.8	LINC00115	79854	CCDS1.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	SAMD11	148398	CCDS2.2	Public	+	Identical	-1
chr1	NC_000001.11	NOC2L	26155	CCDS3.1	Public	-	Identical	-1
chr1	NC_000001.11	PLEKHN1	84069	CCDS4.1	Public	+	Identical	-1
chr1	NC_000001.11	HES4	57801	CCDS5.1	Public	-	Identical	-1
chr1	NC_000001.11	ISG15	9636	CCDS6.1	Public	+	Identical	-1
chr1	NC_000001.11	C1orf159	54991	CCDS7.2	Public	-	Identical	-1
chr1	NC_000001.11	TTLL10	254173	CCDS8.1	Public	+	Identical	-1
chr1	NC_000001.11	TNFRSF18	8784	CCDS9.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF18	8784	CCDS10.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF4	7293	CCDS11.1	Public	-	Identical	-1
chr1	NC_000001.11	SDF4	51150	CCDS12.2	Public	-	Identical	-1
chr1	NC_000001.11	B3GALT6	126792	CCDS13.1	Public	+	Identical	-1
chr1	NC_000001.11	UBE2J2	118424	CCDS14.1	Public	-	Identical	-1
chr1	NC_000001.11	UBE2J2	118424	CCDS15.1	Public	-	Identical	-1
chr1	NC_000001.11	UBE2J2	118424	CCDS16.1	Public	-	Identical	-1
chr1	NC_000001.8	UBE2J2	118424	CCDS17.1	Withdrawn	-	Identical	-1
chr1	NC_000001.10	SCNN1D	6339	CCDS18.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	ACAP3	116983	CCDS19.2	Public	-	Identical	-1
chr1	NC_000001.11	PUSL1	126789	CCDS20.1	Public	+	Identical	-1
chr1	NC_000001.11	INTS11	54973	CCDS21.1	Public	-	Identical	-1
chr1	NC_000001.11	DVL1	1855	CCDS22.1	Public	-	Identical	-1
chr1	NC_000001.9	DVL1	1855	CCDS23.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	MXRA8	54587	CCDS24.1	Public	-	Identical	-1
chr1	NC_000001.11	AURKAIP1	54998	CCDS25.1	Public	-	Identical	-1
chr1	NC_000001.11	MRPL20	55052	CCDS26.1	Public	-	Identical	-1
chr1	NC_000001.11	VWA1	64856	CCDS27.1	Public	+	Identical	-1
chr1	NC_000001.11	VWA1	64856	CCDS28.2	Public	+	Identical	-1
chr1	NC_000001.8	ATAD3C	219293	CCDS29.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	ATAD3B	83858	CCDS30.1	Public	+	Identical	-1
chr1	NC_000001.11	ATAD3A	55210	CCDS31.1	Public	+	Identical	-1
